date,tweet
2020-10-12 10:53:00,"Remember, I wouldn’t be President now had Obama and Biden properly done their job. The fact is, they were TERRIBLE!!!"
2020-10-12 10:58:00,STOCK MARKET UP BIG!
2020-10-12 11:39:00,"So Crazy to watch Senator Blumenthal of Connecticut lecture all on morals &amp; ethics when for 25 years he said he was a Great War Hero in Vietnam, and he was never even there. He lied &amp; cheated right up until the day he got caught. Thank you to those in military who turned him in!"
2020-10-12 11:50:00,https://t.co/599e8A6ogf
2020-10-12 11:55:00,Republicans must state loudly and clearly that WE are going to provide much better Healthcare at a much lower cost. Get the word out! Will always protect pre-existing conditions!!!
2020-10-12 12:47:00,The Economy is about ready to go through the roof. Stock Market ready to break ALL-TIME RECORD. 401k’s incredible. New Jobs Record. Remember all of this when you VOTE. Sleepy Joe wants to quadruple your Taxes. Depression!!! Don’t let it happen! #MAGA
2020-10-12 12:54:00,STOCK MARKET UP ANOTHER 300 POINTS - GREATEST LEADING INDICATOR OF THEM ALL!!! DON’T RUIN IT WITH SLEEPY JOE!!!
2020-10-12 13:30:00,HAPPY COLUMBUS DAY TO ALL!
2020-10-12 15:12:00,"RT @DiamondandSilk: Hey Georgia:
Early Voting begins TODAY! Jim Crow Joe has had 47 years to provide solutions for our Country and has proved he has NONE.
Cast your Early Vote for @realDonaldTrump TODAY.  Let’s keep the Peach State RED! Find your Early Voting Location. https://t.co/wVpWClWRXT"
2020-10-12 15:12:00,"RT @WhiteHouse: President @realDonaldTrump promised the American people he would nominate judges who will interpret the Constitution faithfully.
 
His nominee, Judge Amy Coney Barrett, fulfills that promise. https://t.co/eRaV7q2Hdc"
2020-10-12 15:12:00,"RT @TeamTrump: Vice President @Mike_Pence: Joe Biden has been a cheerleader for China, President @realDonaldTrump put China on notice on day one https://t.co/V8h2HBCbuv"
2020-10-12 15:12:00,"RT @TeamTrump: Vice President @Mike_Pence: Where Joe Biden is talking about shutting down the economy, President @realDonaldTrump is opening up America again https://t.co/hBDBv36K3O"
2020-10-12 15:15:00,"RT @IvankaTrump: Under President Trump’s leadership, Arizona is leading the Great American Comeback for the country. 🇺🇸

Great being back in Phoenix today campaigning for ⁦@realDonaldTrump⁩ https://t.co/XPlmX9JRcI"
2020-10-12 15:16:00,RT @GOPChairwoman: .@realDonaldTrump delivers for all Americans! https://t.co/AwUaHDyDYS
2020-10-12 15:21:00,"RT @WhiteHouse: President @realDonaldTrump's action on critical minerals builds on his commitment to reduce our reliance on foreign imports, bolster American industries, and strengthen our economy as we safely reopen from the pandemic.  https://t.co/79ZGLdbTui"
2020-10-12 15:26:00,Almost nobody showed up to the Sleepy Joe Biden “Rally” in Ohio. The reporting and polls are a Media Con Job - Fake News. We have far more support and enthusiasm than even in 2016. November 3rd. will be a great day for America!!!  #MAGA
2020-10-12 15:50:00,"So Biden is coughing and hacking and playing “fingers” with his mask, all over the place, and the Fake News doesn’t want to even think about discussing it. “Journalism” has reached the all time low in history. Sadly, Lamestream knows this and doesn’t even care!"
2020-10-12 15:51:00,Heading to the Greatest Economy Of All Time!!!  VOTE
2020-10-12 16:01:00,"307,000 Veterans Died waiting for Healthcare at the V.A. During Sleepy Joe Biden’s Watch. 800,000 Records Stalled! A complete and total disaster."
2020-10-12 16:08:00,"Joe Biden has let the Unions down — always has, always will! https://t.co/XIEd0dSEvA"
2020-10-12 16:16:00,Leaving now for Florida Rally. Big crowds!
2020-10-12 16:24:00,Cuomo Dodges on Whether Sending COVID Patients into Nursing Homes Was a Mistake https://t.co/okkpcFyO3n via @BreitbartNews. He really blew it. Could have put people in Convention Center or Hospital Ship. Didn’t have a clue!!!
2020-10-12 16:33:00,"He should sue the women, and all of those who illegally worked with them, for false and disgusting accusations!!! https://t.co/ocdEeIFxeF"
2020-10-12 17:10:00,"Sleepy Joe Biden had a particularly bad day today. He couldn’t remember the name of Mitt Romney, said again he was running for the U.S. Senate, and forgot what State he was in. If I did any of this, it would be disqualifying. With him, he’s just Sleepy Joe!"
2020-10-12 17:11:00,"What’s going on, almost nobody is showing up for Sleepy Joe rallies!"
2020-10-12 17:14:00,Republicans should be strongly focused on completing a wonderful stimulus package for the American People!
2020-10-12 17:42:00,"The World Health Organization just admitted that I was right. Lockdowns are killing countries all over the world. The cure cannot be worse than the problem itself. Open up your states, Democrat governors. Open up New York. A long battle, but they finally did the right thing!"
2020-10-12 18:04:00,Happy National Farmers Day! https://t.co/2Q8dbu5UyO
2020-10-12 18:18:00,"Biden losing big in Florida. Only Fake Polls show otherwise! Bad for Healthcare. Thinks he’s running for the Senate. Forgot Mitt Romney’s name, and where he was!"
2020-10-12 18:22:00,"“I’m running as a proud Democrat, for the Senate”. Sleepy Joe Biden today. It’s only going to get worse. It is not sustainable for our County - China will own us!!!!"
2020-10-12 18:30:00,".@FoxNews allows more negative ads on me than practically all of the other networks combined. Not like the old days, but we will win even bigger than 2016. Roger Ailes was the GREATEST!"
2020-10-12 18:32:00,"Getting ready to land in Florida. BIG CROWD! Live on various networks: @OANN, @cspan, @newsmax and others!!!"
2020-10-12 20:13:00,https://t.co/uMa2jU8inP
2020-10-12 20:14:00,"It was great to be back in my home state of FLORIDA to make my official return to the campaign trail. I am energized by your prayers, humbled by your support, and absolutely determined to finish what we started and Make America Greater than Ever Before! https://t.co/XrQG0KPdUo"
